ID,CallName,CallDefLoc,ReturnType,NormalReturn,ErrorReturn
158,posix_spawn_file_actions_init,/usr/include/spawn.h,INT,posix_spawn_file_actions_init_0==0,posix_spawn_file_actions_init_0>0
159,posix_spawnp,/usr/include/spawn.h,INT,posix_spawnp_0==0,posix_spawnp_0>0
160,pthread_attr_destroy,/usr/include/pthread.h,INT,pthread_attr_destroy_0==0,pthread_attr_destroy_0>0
161,pthread_attr_getstacksize,/usr/include/pthread.h,INT,pthread_attr_getstacksize_0==0,pthread_attr_getstacksize_0>0
162,pthread_attr_init,/usr/include/pthread.h,INT,pthread_attr_init_0==0,pthread_attr_init_0>0
163,pthread_attr_setdetachstate,/usr/include/pthread.h,INT,pthread_attr_setdetachstate_0==0,pthread_attr_setdetachstate_0>0
164,pthread_attr_setscope,/usr/include/pthread.h,INT,pthread_attr_setscope_0==0,pthread_attr_setscope_0>0
165,pthread_attr_setstacksize,/usr/include/pthread.h,INT,pthread_attr_setstacksize_0==0,pthread_attr_setstacksize_0>0
166,pthread_cond_broadcast,/usr/include/pthread.h,INT,pthread_cond_broadcast_0==0,pthread_cond_broadcast_0>0
167,pthread_cond_destroy,/usr/include/pthread.h,INT,pthread_cond_destroy_0==0,pthread_cond_destroy_0>0
168,pthread_cond_init,/usr/include/pthread.h,INT,pthread_cond_init_0==0,pthread_cond_init_0>0
169,pthread_cond_signal,/usr/include/pthread.h,INT,pthread_cond_signal_0==0,pthread_cond_signal_0>0
170,pthread_cond_timedwait,/usr/include/pthread.h,INT,pthread_cond_timedwait_0==0,pthread_cond_timedwait_0>0
171,pthread_cond_wait,/usr/include/pthread.h,INT,pthread_cond_wait_0==0,pthread_cond_wait_0>0
172,pthread_create,/usr/include/pthread.h,INT,pthread_create_0==0,pthread_create_0>0
173,pthread_detach,/usr/include/pthread.h,INT,pthread_detach_0==0,pthread_detach_0>0
174,pthread_equal,/usr/include/pthread.h,INT,pthread_equal_0==0,pthread_equal_0>0
175,pthread_getspecific,/usr/include/pthread.h,INT,pthread_getspecific_0==0,pthread_getspecific_0>0
176,pthread_join,/usr/include/pthread.h,INT,pthread_join_0==0,pthread_join_0>0
177,pthread_key_create,/usr/include/pthread.h,INT,pthread_key_create_0==0,pthread_key_create_0>0
178,pthread_mutex_destroy,/usr/include/pthread.h,INT,pthread_mutex_destroy_0==0,pthread_mutex_destroy_0>0
179,pthread_mutex_init,/usr/include/pthread.h,INT,pthread_mutex_init_0==0,pthread_mutex_init_0>0
180,pthread_mutex_lock,/usr/include/pthread.h,INT,pthread_mutex_lock_0==0,pthread_mutex_lock_0>0
181,pthread_mutex_trylock,/usr/include/pthread.h,INT,pthread_mutex_trylock_0==0,pthread_mutex_trylock_0>0
182,pthread_mutex_unlock,/usr/include/pthread.h,INT,pthread_mutex_unlock_0==0,pthread_mutex_unlock_0>0
183,pthread_mutexattr_destroy,/usr/include/pthread.h,INT,pthread_mutexattr_destroy_0==0,pthread_mutexattr_destroy_0>0
184,pthread_mutexattr_init,/usr/include/pthread.h,INT,pthread_mutexattr_init_0==0,pthread_mutexattr_init_0>0
185,pthread_setspecific,/usr/include/pthread.h,INT,pthread_setspecific_0==0,pthread_setspecific_0>0
186,pthread_sigmask,/usr/include/signal.h,INT,pthread_sigmask_0==0,pthread_sigmask_0>0
187,regcomp,/usr/include/regex.h,INT,regcomp_0==0,regcomp_0>0
188,regexec,/usr/include/regex.h,INT,regexec_0==0,regexec_0>0
189,getaddrinfo,/usr/include/netdb.h,INT,getaddrinfo_0==0,getaddrinfo_0<0
190,getnameinfo,/usr/include/netdb.h,INT,getnameinfo_0==0,getnameinfo_0<0
191,glob,/usr/include/glob.h,INT,glob_0==0,glob_0>0
192,write_history,/usr/include/readline/history.h,INT,write_history_0==0,write_history_0>0
193,fread,/usr/include/stdio.h,INT,fread_0>=0,fread_0<0
195,fwrite,/usr/include/stdio.h,INT,fwrite_0>=0,fwrite_0<0
201,bsearch,/usr/include/stdlib.h,POINTER,bsearch_0,Not(bsearch_0)
202,calloc,/usr/include/stdlib.h,POINTER,calloc_0,Not(calloc_0)
203,ctime,/usr/include/time.h,POINTER,ctime_0,Not(ctime_0)
204,ctime_r,/usr/include/time.h,POINTER,ctime_r_0,Not(ctime_r_0)
205,dlerror,/usr/include/dlfcn.h,POINTER,dlerror_0,Not(dlerror_0)
206,dlopen,/usr/include/dlfcn.h,POINTER,dlopen_0,Not(dlopen_0)
207,dlsym,/usr/include/dlfcn.h,POINTER,dlsym_0,Not(dlsym_0)
208,fdopen,/usr/include/stdio.h,POINTER,fdopen_0,Not(fdopen_0)
209,fgets,/usr/include/stdio.h,POINTER,fgets_0,Not(fgets_0)
210,fopen,/usr/include/stdio.h,POINTER,fopen_0,Not(fopen_0)
211,freopen,/usr/include/stdio.h,POINTER,freopen_0,Not(freopen_0)
212,getcwd,/usr/include/unistd.h,POINTER,getcwd_0,Not(getcwd_0)
213,getenv,/usr/include/stdlib.h,POINTER,getenv_0,Not(getenv_0)
214,getgrgid,/usr/include/grp.h,POINTER,getgrgid_0,Not(getgrgid_0)
215,getgrgid_r,/usr/include/grp.h,POINTER,getgrgid_r_0,Not(getgrgid_r_0)
216,getgrnam,/usr/include/grp.h,POINTER,getgrnam_0,Not(getgrnam_0)
217,getgrnam_r,/usr/include/grp.h,POINTER,getgrnam_r_0,Not(getgrnam_r_0)
218,gethostbyaddr,/usr/include/netdb.h,POINTER,gethostbyaddr_0,Not(gethostbyaddr_0)
219,gethostbyname,/usr/include/netdb.h,POINTER,gethostbyname_0,Not(gethostbyname_0)
220,getlogin,/usr/include/unistd.h,POINTER,getlogin_0,Not(getlogin_0)
221,getpass,/usr/include/unistd.h,POINTER,getpass_0,Not(getpass_0)
222,getpwnam,/usr/include/pwd.h,POINTER,getpwnam_0,Not(getpwnam_0)
223,getpwuid,/usr/include/pwd.h,POINTER,getpwuid_0,Not(getpwuid_0)
224,getpwuid_r,/usr/include/pwd.h,POINTER,getpwuid_r_0,Not(getpwuid_r_0)
225,getservbyname,/usr/include/netdb.h,POINTER,getservbyname_0,Not(getservbyname_0)
226,gmtime,/usr/include/time.h,POINTER,gmtime_0,Not(gmtime_0)
227,gmtime_r,/usr/include/time.h,POINTER,gmtime_r_0,Not(gmtime_r_0)
228,inet_ntop,/usr/include/arpa/inet.h,POINTER,inet_ntop_0,Not(inet_ntop_0)
229,localtime,/usr/include/time.h,POINTER,localtime_0,Not(localtime_0)
230,localtime_r,/usr/include/time.h,POINTER,localtime_r_0,Not(localtime_r_0)
231,malloc,/usr/include/stdlib.h,POINTER,malloc_0,Not(malloc_0)
235,mkdtemp,/usr/include/unistd.h,POINTER,mkdtemp_0,Not(mkdtemp_0)
236,mmap,/usr/include/x86_64-linux-gnu/sys/mman.h,POINTER,mmap_0,Not(mmap_0)
237,opendir,/usr/include/dirent.h,POINTER,opendir_0,Not(opendir_0)
238,popen,/usr/include/stdio.h,POINTER,popen_0,Not(popen_0)
239,readdir,/usr/include/dirent.h,POINTER,readdir_0,Not(readdir_0)
240,readline,/usr/include/readline/history.h,POINTER,readline_0,Not(readline_0)
241,realloc,/usr/include/stdlib.h,POINTER,realloc_0,Not(realloc_0)
242,realpath,/usr/include/stdlib.h,POINTER,realpath_0,Not(realpath_0)
243,setlocale,/usr/include/locale.h,POINTER,setlocale_0,Not(setlocale_0)
246,strdup,/usr/include/string.h,POINTER,strdup_0,Not(strdup_0)
247,strndup,/usr/include/string.h,POINTER,strndup_0,Not(strndup_0)
250,strptime,/usr/include/time.h,POINTER,strptime_0,Not(strptime_0)
255,tmpfile,/usr/include/stdio.h,POINTER,tmpfile_0,Not(tmpfile_0)
256,pipe2,/usr/include/unistd.h,INT,pipe2_0==0,pipe2_0==-1
257,mkdtemp,/usr/include/stdlib.h,POINTER,mkdtemp_0,Not(mkdtemp_0)
258,iconv_close,/usr/include/iconv.h,INT,iconv_close_0==0,iconv_close_0==-1
259,fdopendir,/usr/include/dirent.h,POINTER,fdopendir_0,Not(fdopendir_0)
260,pthread_mutexattr_settype,/usr/include/pthread.h,INT,pthread_mutexattr_settype_0==0,pthread_mutexattr_settype_0>0
261,pthread_rwlockattr_init,/usr/include/pthread.h,INT,pthread_rwlockattr_init_0==0,pthread_rwlockattr_init_0>0
262,setmntent,/usr/include/mntent.h,POINTER,setmntent_0,Not(setmntent_0)
